,RNO,Name,Gender,course,Marks,fees
0,1,Student1,F,MBA,98,1.5
1,2,Student2,M,MBA,69,1.5
2,3,Student3,F,MBA,19,1.5
3,4,Student4,M,MBA,53,1.5
4,6,Student6,F,MBA,44,1.5
5,11,Student11,F,MBA,83,1.5
6,14,Student14,M,MBA,62,1.5
7,15,Student15,F,MBA,3,1.5
8,29,Student29,F,MBA,2,1.5
9,31,Student31,F,MBA,75,1.5
10,32,Student32,F,MBA,25,1.5
11,37,Student37,M,MBA,64,1.5
12,40,Student40,M,MBA,91,1.5
13,42,Student42,F,MBA,24,1.5
14,56,Student56,M,MBA,81,1.5
15,61,Student61,F,MBA,15,1.5
16,67,Student67,F,MBA,80,1.5
17,72,Student72,M,MBA,15,1.5
18,75,Student75,M,MBA,28,1.5
19,81,Student81,F,MBA,93,1.5
20,82,Student82,M,MBA,25,1.5
21,83,Student83,M,MBA,95,1.5
22,88,Student88,M,MBA,13,1.5
23,92,Student92,M,MBA,30,1.5
24,94,Student94,F,MBA,34,1.5
25,95,Student95,F,MBA,33,1.5
26,97,Student97,F,MBA,75,1.5
27,99,Student99,M,MBA,52,1.5
28,102,Student102,F,MBA,66,1.5
29,104,Student104,F,MBA,31,1.5
30,105,Student105,F,MBA,6,1.5
31,107,Student107,M,MBA,32,1.5
32,121,Student121,F,MBA,1,1.5
33,134,Student134,F,MBA,70,1.5
34,140,Student140,F,MBA,15,1.5
35,150,Student150,F,MBA,10,1.5
36,151,Student151,F,MBA,53,1.5
37,153,Student153,M,MBA,100,1.5
38,160,Student160,M,MBA,83,1.5
39,162,Student162,M,MBA,84,1.5
40,168,Student168,F,MBA,17,1.5
41,171,Student171,F,MBA,2,1.5
42,174,Student174,F,MBA,62,1.5
43,176,Student176,F,MBA,5,1.5
44,181,Student181,M,MBA,79,1.5
45,185,Student185,F,MBA,32,1.5
46,186,Student186,M,MBA,78,1.5
47,196,Student196,F,MBA,11,1.5
48,202,Student202,M,MBA,48,1.5
49,205,Student205,F,MBA,76,1.5
50,206,Student206,M,MBA,70,1.5
51,213,Student213,M,MBA,5,1.5
52,217,Student217,F,MBA,29,1.5
53,221,Student221,M,MBA,87,1.5
54,224,Student224,M,MBA,21,1.5
55,228,Student228,F,MBA,87,1.5
56,230,Student230,F,MBA,5,1.5
57,238,Student238,M,MBA,9,1.5
58,244,Student244,M,MBA,0,1.5
59,248,Student248,M,MBA,2,1.5
60,255,Student255,M,MBA,3,1.5
61,270,Student270,F,MBA,59,1.5
62,271,Student271,M,MBA,8,1.5
63,278,Student278,F,MBA,3,1.5
64,284,Student284,M,MBA,27,1.5
65,292,Student292,F,MBA,34,1.5
66,297,Student297,M,MBA,93,1.5
67,300,Student300,F,MBA,11,1.5
68,301,Student301,M,MBA,81,1.5
69,311,Student311,F,MBA,26,1.5
70,317,Student317,M,MBA,73,1.5
71,318,Student318,F,MBA,79,1.5
72,320,Student320,F,MBA,31,1.5
73,322,Student322,F,MBA,45,1.5
74,325,Student325,M,MBA,91,1.5
75,326,Student326,M,MBA,38,1.5
76,330,Student330,M,MBA,95,1.5
77,333,Student333,F,MBA,6,1.5
78,335,Student335,F,MBA,52,1.5
79,336,Student336,M,MBA,68,1.5
80,338,Student338,M,MBA,59,1.5
81,339,Student339,M,MBA,12,1.5
82,351,Student351,F,MBA,11,1.5
83,352,Student352,F,MBA,10,1.5
84,356,Student356,M,MBA,70,1.5
85,358,Student358,F,MBA,50,1.5
86,361,Student361,F,MBA,45,1.5
87,362,Student362,M,MBA,79,1.5
88,366,Student366,F,MBA,98,1.5
89,369,Student369,F,MBA,23,1.5
90,370,Student370,F,MBA,59,1.5
91,372,Student372,F,MBA,5,1.5
92,377,Student377,F,MBA,79,1.5
93,378,Student378,F,MBA,91,1.5
94,382,Student382,M,MBA,58,1.5
95,385,Student385,M,MBA,37,1.5
96,389,Student389,F,MBA,41,1.5
97,390,Student390,F,MBA,91,1.5
